Scenario,Confidence,VaR (%),CVaR (%),VaR ($),CVaR ($),VaR Change,CVaR Change
Baseline,95%,1.5616%,1.9424%,"$15,616","$19,424",—,—
Baseline,99%,2.1553%,2.4721%,"$21,553","$24,721",—,—
Volatility Shock,95%,2.2262%,2.7648%,"$22,262","$27,648",+42.6%,+42.3%
Volatility Shock,99%,3.0658%,3.5139%,"$30,658","$35,139",+42.2%,+42.1%
Correlation Shock,95%,2.5206%,3.1360%,"$25,206","$31,360",+61.4%,+61.4%
Correlation Shock,99%,3.4877%,4.0294%,"$34,877","$40,294",+61.8%,+63.0%
Market Crash,95%,13.6231%,14.4372%,"$136,231","$144,372",+772.4%,+643.3%
Market Crash,99%,14.9252%,15.6285%,"$149,252","$156,285",+592.5%,+532.2%
Rate Shock,95%,8.6748%,9.3150%,"$86,748","$93,150",+455.5%,+379.6%
Rate Shock,99%,9.6631%,10.2371%,"$96,631","$102,371",+348.3%,+314.1%
